Gridlet ID,SubmissionTime,QueueTime,RunTime,State
1,1.39646166525E9,0.0,17.0,Success
2,1.39655476425E9,0.0,45.0,Success
3,1.39655482325E9,0.0,91.0,Success
4,1.39655492525E9,0.0,64.0,Success
5,1.39655500425E9,0.0,25.0,Success
6,1.39655503725E9,0.0,79.0,Success
7,1.39655588125E9,0.0,8.0,Success
9,1.3966064535E9,0.0,9.0,Success
13,1.3966065635E9,0.0,32.0,Success
17,1.3966066315E9,0.0,25.0,Success
21,1.3966071715E9,0.0,26.0,Success
24,1.39660725425E9,0.0,3.0,Success
25,1.3966072555E9,0.0,3.0,Success
26,1.39660725675E9,0.0,1.75,Success
27,1.396607258E9,0.0,2.0,Success
28,1.39660729725E9,0.0,2.0,Success
29,1.3966072985E9,0.0,2.0,Success
30,1.39660729975E9,0.0,2.0,Success
31,1.396607301E9,0.0,2.0,Success
32,1.39661353725E9,0.0,10.0,Success
39,1.3966193285E9,0.0,3.0,Success
43,1.39661958075E9,0.0,2.0,Success
42,1.3966195795E9,0.0,1415.0,Success
37,1.39661716925E9,0.0,4696.0,Success
33,1.39661355225E9,0.0,8322.0,Success
35,1.3966161945E9,0.0,6933.0,Success
45,1.39662312525E9,0.0,6890.0,Success
63,1.3966307135E9,0.0,100.0,Success
67,1.3966319055E9,0.0,64.0,Success
69,1.39663486725E9,0.0,9.0,Success
70,1.39663517725E9,0.0,5.0,Success
71,1.39663520925E9,0.0,15.0,Success
72,1.39663523325E9,0.0,34.0,Success
73,1.39663532325E9,0.0,13.0,Success
74,1.39663544325E9,0.0,14.0,Success
75,1.39663554425E9,0.0,14.0,Success
76,1.39663557025E9,0.0,84.0,Success
77,1.39663580225E9,0.0,2.0,Success
78,1.39663596925E9,0.0,2.0,Success
65,1.39663170625E9,0.0,5337.0,Success
80,1.39664025325E9,0.0,15.0,Success
81,1.39664034425E9,0.0,2.0,Success
82,1.39664098025E9,0.0,5.0,Success
83,1.39664105625E9,0.0,4.0,Success
84,1.39664110825E9,0.0,5.0,Success
48,1.39663001425E9,0.0,13717.0,Success
79,1.39663704925E9,0.0,7290.0,Success
87,1.3966443525E9,0.0,41.0,Success
88,1.39664435375E9,0.0,39.75,Success
85,1.39664134225E9,0.0,3558.0,Success
51,1.39664373025E9,0.0,13738.0,Success
54,1.39665746725E9,0.0,13744.0,Success
57,1.39667121025E9,0.0,13715.0,Success
60,1.39668492425E9,0.0,13803.0,Success
90,1.3969680835E9,0.0,13779.0,Success
119,1.39699557125E9,0.0,7.0,Success
120,1.39699558625E9,0.0,8.0,Success
93,1.39698186025E9,0.0,13789.0,Success
121,1.39699565225E9,0.0,9.0,Success
122,1.39699605125E9,0.0,10.0,Success
123,1.39699638125E9,0.0,2.0,Success
124,1.3969963825E9,0.0,2.0,Success
125,1.39699638375E9,0.0,2.0,Success
126,1.39699668825E9,0.0,2.0,Success
127,1.3969966895E9,0.0,2.0,Success
128,1.39699669075E9,0.0,2.0,Success
129,1.39699685125E9,0.0,2.0,Success
130,1.3969968525E9,0.0,2.0,Success
131,1.39699685375E9,0.0,2.0,Success
132,1.39699720425E9,0.0,2.0,Success
133,1.3969972055E9,0.0,2.0,Success
134,1.39699720675E9,0.0,2.0,Success
96,1.39699564825E9,0.0,13727.0,Success
99,1.39700937425E9,0.0,13736.0,Success
102,1.39702310925E9,0.0,13733.0,Success
136,1.3970461935E9,0.0,100.0,Success
105,1.39703684125E9,0.0,13703.0,Success
187,1.39705100125E9,0.0,3.0,Success
188,1.3970510025E9,0.0,3.0,Success
161,1.3970472785E9,0.0,13712.0,Success
108,1.39705054325E9,0.0,14862.25,Success
189,1.39707481225E9,0.0,10.0,Success
111,1.39706540525E9,0.0,13762.0,Success
114,1.39707916625E9,0.0,13747.0,Success
117,1.39709291225E9,0.0,13734.0,Success
190,1.39713284925E9,0.0,16.0,Success
191,1.39713375025E9,0.0,9.0,Success
192,1.39713441425E9,0.0,9.0,Success
193,1.39713501825E9,0.0,2.0,Success
194,1.3971350195E9,0.0,2.0,Success
195,1.39713502075E9,0.0,2.0,Success
196,1.39714903425E9,0.0,11.0,Success
197,1.39714916525E9,0.0,8.0,Success
198,1.39714923625E9,0.0,9.0,Success
199,1.39714925925E9,0.0,6.0,Success
200,1.39714926525E9,0.0,7.0,Success
201,1.39714928625E9,0.0,7.0,Success
202,1.39714930925E9,0.0,8.0,Success
203,1.39714933225E9,0.0,9.0,Success
205,1.3971498465E9,0.0,2.0,Success
208,1.3971503435E9,0.0,2.0,Success
214,1.3971529825E9,0.0,16.0,Success
220,1.3971542125E9,0.0,3.0,Success
223,1.3971542625E9,0.0,2.0,Success
217,1.3971540305E9,0.0,4199.0,Success
228,1.39715895525E9,0.0,25.0,Success
229,1.39715900625E9,0.0,6.0,Success
230,1.39715901225E9,0.0,7.0,Success
231,1.39715903425E9,0.0,7.0,Success
232,1.39715905625E9,0.0,8.0,Success
233,1.39715907925E9,0.0,10.0,Success
234,1.39715914125E9,0.0,25.0,Success
235,1.39715918425E9,0.0,18.0,Success
236,1.39715922225E9,0.0,26.0,Success
237,1.39715924825E9,0.0,32.0,Success
238,1.39715930525E9,0.0,26.0,Success
239,1.39715935025E9,0.0,36.0,Success
241,1.3971594525E9,0.0,2.0,Success
226,1.3971543135E9,0.0,5529.0,Success
244,1.3971598775E9,0.0,126.0,Success
252,1.39716047325E9,0.0,32.0,Success
253,1.39716075025E9,0.0,8.0,Success
254,1.39716083625E9,0.0,8.0,Success
255,1.39716099025E9,0.0,9.0,Success
256,1.39716106725E9,0.0,8.0,Success
257,1.39716117725E9,0.0,10.0,Success
258,1.39716125125E9,0.0,9.0,Success
259,1.39716136925E9,0.0,10.0,Success
247,1.3971601815E9,0.0,1237.0,Success
261,1.3971616755E9,0.0,1536.0,Success
263,1.39716375425E9,0.0,2.0,Success
264,1.39716393625E9,0.0,2.0,Success
265,1.39716664025E9,0.0,2.0,Success
266,1.3971666415E9,0.0,2.0,Success
267,1.39716664275E9,0.0,2.0,Success
268,1.39716665425E9,0.0,2.0,Success
269,1.3971666555E9,0.0,2.0,Success
270,1.39716665675E9,0.0,2.0,Success
271,1.39716667325E9,0.0,2.0,Success
272,1.3971666745E9,0.0,2.0,Success
273,1.39716667575E9,0.0,2.0,Success
250,1.3971603085E9,0.0,10972.0,Success
211,1.3971504455E9,0.0,33784.0,Success
281,1.3971704725E9,0.0,14589.0,Success
278,1.3971704625E9,0.0,15344.0,Success
275,1.3971702655E9,0.0,29012.0,Success
283,1.39721878325E9,0.0,12.0,Success
284,1.39721882125E9,0.0,133.0,Success
285,1.39721958825E9,0.0,2.0,Success
286,1.39721959025E9,0.0,2.0,Success
287,1.3972195915E9,0.0,2.0,Success
288,1.39721971425E9,0.0,2.0,Success
